,UNIQUEID,DRUG,SOURCE,METHOD_3,PHENOTYPE,METHOD_MIC
1055,site.08.subj.BTN_P58_17.lab.BTN_P58_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1056,site.08.subj.05TB11090.lab.26774.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1057,site.08.subj.02TB2208.lab.25912.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1058,site.08.subj.28TB-D19-007.lab.2994.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1059,site.08.subj.02TB2210.lab.26189.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1060,site.08.subj.BTN_P73_18.lab.BTN_P73_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1061,site.08.subj.BTN_P21_18.lab.BTN_P21_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1062,site.08.subj.BTN_P514_17.lab.BTN_P514_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1063,site.08.subj.05TB12062.lab.28117.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1064,site.08.subj.02TB2234.lab.26600.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1065,site.08.subj.28TB-D01-004.lab.3080.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1066,site.08.subj.02TB2681.lab.26443.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1067,site.08.subj.05TB41035.lab.1906.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1068,site.08.subj.BTN_P271_18.lab.BTN_P271_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1069,site.08.subj.BTN_P459_17.lab.BTN_P459_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1070,site.08.subj.02TB2346.lab.26277.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1071,site.08.subj.24TB00-040.lab.2423.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1072,site.08.subj.02TB0158.lab.17027.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1073,site.08.subj.02TB0158.lab.17101.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1074,site.08.subj.02TB2397.lab.25814.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1075,site.08.subj.28TB-D12-002.lab.2520.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1076,site.08.subj.BTN_P263_16.lab.BTN_P263_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1077,site.08.subj.02TB2783.lab.26536.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1078,site.08.subj.BTN_P505_18.lab.BTN_P505_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1079,site.08.subj.02TB2610.lab.26104.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1080,site.08.subj.02TB2023.lab.21665.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1081,site.08.subj.BTN_P80_16.lab.BTN_P80_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1082,site.08.subj.05TB42026.lab.1840.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1083,site.08.subj.02TB2516.lab.26259.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1084,site.08.subj.02TB2387.lab.25800.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1085,site.08.subj.02TB1100.lab.20767.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1086,site.08.subj.02TB0779.lab.18230.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1087,site.08.subj.BTN_P234_18.lab.BTN_P234_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1088,site.08.subj.BTN_P362_17.lab.BTN_P362_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1089,site.08.subj.05TB22093.lab.26661.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1090,site.08.subj.05TB12006.lab.22741.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1091,site.08.subj.BTN_P18_17.lab.BTN_P18_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1092,site.08.subj.BTN_P182_16.lab.BTN_P182_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1093,site.08.subj.02TB0851.lab.18338.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1094,site.08.subj.02TB0851.lab.18810.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1095,site.08.subj.02TB0851.lab.18159.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1096,site.08.subj.02TB2448.lab.25864.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1097,site.08.subj.05TB22121.lab.27576.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1098,site.08.subj.02TB2333.lab.25918.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1099,site.08.subj.BTN_P552_16.lab.BTN_P552_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1100,site.08.subj.02TB0685.lab.19393.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1101,site.08.subj.BTN_P194_17.lab.BTN_P194_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1102,site.08.subj.02TB2334.lab.26078.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1103,site.08.subj.BTN_P150_17.lab.BTN_P150_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1104,site.08.subj.BTN_P19_18.lab.BTN_P19_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1105,site.08.subj.BTN_P105_16.lab.BTN_P105_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1106,site.08.subj.02TB0494.lab.21393.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1107,site.08.subj.02TB0494.lab.17843.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1108,site.08.subj.02TB0494.lab.18129.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1109,site.08.subj.BTN_P48_17.lab.BTN_P48_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1110,site.08.subj.BTN_P463_17.lab.BTN_P463_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1111,site.08.subj.BTN_P181_18.lab.BTN_P181_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1112,site.08.subj.24TB00-005.lab.2234.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1113,site.08.subj.24TB00-005.lab.2252.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1114,site.08.subj.24TB00-005.lab.2232.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1115,site.08.subj.24TB00-005.lab.2246.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1116,site.08.subj.02TB2458.lab.25903.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1117,site.08.subj.02TB2608.lab.26092.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1118,site.08.subj.05TB21062.lab.24563.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1119,site.08.subj.05TB12024.lab.25595.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1120,site.08.subj.05TB32014.lab.1824.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1121,site.08.subj.BTN_P218_17.lab.BTN_P218_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1122,site.08.subj.BTN_P307_17.lab.BTN_P307_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1123,site.08.subj.05TB41002.lab.1767.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1124,site.08.subj.02TB1949.lab.22656.iso.1,BDQ,CRyPTIC,UKMYC6,R,1.0
1125,site.08.subj.BTN_EP438_16.lab.BTN_EP438_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1126,site.08.subj.05TB12008.lab.23014.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1127,site.08.subj.05TB12045.lab.27175.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1128,site.08.subj.BTN_P155_17.lab.BTN_P155_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1129,site.08.subj.23TB03-118.lab.2138.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1130,site.08.subj.BTN_P54_16.lab.BTN_P54_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1131,site.08.subj.DTU-084.lab.2187.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1132,site.08.subj.02TB2580.lab.25875.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1133,site.08.subj.DTU-060.lab.2176.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1134,site.08.subj.BTN_P505_16.lab.BTN_P505_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1135,site.08.subj.BTN_EP140_18.lab.BTN_EP140_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1136,site.08.subj.05TB33019.lab.1952.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1137,site.08.subj.02TB2428.lab.26197.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1138,site.08.subj.02TB2287.lab.26261.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1139,site.08.subj.23TB03-137.lab.2212.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1140,site.08.subj.24TB-056.lab.2153.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1141,site.08.subj.BTN_P197_18.lab.BTN_P197_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1142,site.08.subj.02TB2261.lab.25785.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1143,site.08.subj.BTN_P488_18.lab.BTN_P488_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1144,site.08.subj.02TB2295.lab.26318.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1145,site.08.subj.BTN_P431_17.lab.BTN_P431_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1146,site.08.subj.05TB33008.lab.1784.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1147,site.08.subj.BTN_EP187_18.lab.BTN_EP187_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1148,site.08.subj.BTN_P250_17.lab.BTN_P250_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1149,site.08.subj.28TB-D12-001.lab.2576.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1150,site.08.subj.BTN_P173_17.lab.BTN_P173_17.iso.1,BDQ,CRyPTIC2,UKMYC6,R,0.5
1151,site.08.subj.28TB-D25-005.lab.2574.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1152,site.08.subj.02TB1566.lab.20950.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
1153,site.08.subj.BTN_P120_18.lab.BTN_P120_18.iso.1,BDQ,CRyPTIC2,UKMYC6,R,>1
1154,site.08.subj.BTN_P471_18.lab.BTN_P471_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1155,site.08.subj.02TB0159.lab.16990.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.12
1156,site.08.subj.BTN_P475_18.lab.BTN_P475_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1157,site.08.subj.BTN_P359_17.lab.BTN_P359_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1158,site.08.subj.05TB22053.lab.25192.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1159,site.08.subj.28TB-D12-008.lab.2852.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1160,site.08.subj.BTN_P349_18.lab.BTN_P349_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1161,site.08.subj.24TB00-048.lab.2357.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1162,site.08.subj.24TB00-048.lab.2362.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1163,site.08.subj.BTN_P391_17.lab.BTN_P391_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1164,site.08.subj.05TB32046.lab.1998.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1165,site.08.subj.02TB2423.lab.26258.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1166,site.08.subj.BTN_P368_18.lab.BTN_P368_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1167,site.08.subj.05TB12022.lab.25201.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1168,site.08.subj.28TB-D01-001.lab.2519.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1169,site.08.subj.02TB2565.lab.25886.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1170,site.08.subj.05TB12040.lab.27105.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1171,site.08.subj.02TB2505.lab.25879.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1172,site.08.subj.BTN_EP131_18.lab.BTN_EP131_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1173,site.08.subj.BTN_P4_18.lab.BTN_P4_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1174,site.08.subj.02TB2220.lab.26299.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1175,site.08.subj.28TB-D20-001.lab.2639.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1176,site.08.subj.02TB2391.lab.25895.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1177,site.08.subj.BTN_P465_17.lab.BTN_P465_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1178,site.08.subj.BTN_P236_17.lab.BTN_P236_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1179,site.08.subj.BTN_P392_18.lab.BTN_P392_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1180,site.08.subj.BTN_P122_18.lab.BTN_P122_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1181,site.08.subj.02TB0270.lab.18623.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1182,site.08.subj.24TB-054.lab.2203.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1183,site.08.subj.BTN_P544_16.lab.BTN_P544_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1184,site.08.subj.02TB0709.lab.19077.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1185,site.08.subj.02TB0709.lab.18808.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1186,site.08.subj.BTN_P148_16.lab.BTN_P148_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1187,site.08.subj.BTN_P480_17.lab.BTN_P480_17.iso.1,BDQ,CRyPTIC2,UKMYC6,R,>1
1188,site.08.subj.23TB03-249.lab.2256.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1189,site.08.subj.02TB2426.lab.26198.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1190,site.08.subj.BTN_P187_18.lab.BTN_P187_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1191,site.08.subj.05TB32056.lab.2020.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1192,site.08.subj.02TB0187.lab.17748.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1193,site.08.subj.02TB0187.lab.17344.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1194,site.08.subj.28TB-D25-006.lab.2901.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
1195,site.08.subj.BTN_P473_18.lab.BTN_P473_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1196,site.08.subj.02TB2382.lab.25787.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
1197,site.08.subj.BTN_P500_16.lab.BTN_P500_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1198,site.08.subj.05TB23001.lab.21881.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1199,site.08.subj.05TB41041.lab.1941.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1200,site.08.subj.02TB2455.lab.25896.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1201,site.08.subj.05TB22073.lab.25494.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1202,site.08.subj.BTN_P71_17.lab.BTN_P71_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1203,site.08.subj.05TB32034.lab.1931.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1204,site.08.subj.02TB2335.lab.26077.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1205,site.08.subj.BTN_P493_16.lab.BTN_P493_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1206,site.08.subj.BTN_P217_16.lab.BTN_P217_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1207,site.08.subj.05TB12053.lab.27578.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1208,site.08.subj.02TB2604.lab.26081.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1209,site.08.subj.BTN_P297_18.lab.BTN_P297_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1210,site.08.subj.23TB03-138.lab.2210.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1211,site.08.subj.02TB2640.lab.26307.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1212,site.08.subj.BTN_P536_16.lab.BTN_P536_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1213,site.08.subj.BTN_P64_17.lab.BTN_P64_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1214,site.08.subj.02TB2702.lab.26583.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1215,site.08.subj.05TB32024.lab.1892.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1216,site.08.subj.05TB32024.lab.1899.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1217,site.08.subj.BTN_P382_17.lab.BTN_P382_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1218,site.08.subj.05TB43010.lab.1861.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1219,site.08.subj.02TB2413.lab.26097.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1220,site.08.subj.05TB32047.lab.2001.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1221,site.08.subj.05TB11053.lab.25028.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1222,site.08.subj.24TB00-063.lab.2419.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1223,site.08.subj.24TB00-063.lab.2430.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1224,site.08.subj.24TB00-063.lab.2401.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1225,site.08.subj.24TB-049.lab.2150.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1226,site.08.subj.05TB12038.lab.27000.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1227,site.08.subj.05TB12038.lab.27003.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1228,site.08.subj.05TB31029.lab.1933.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1229,site.08.subj.BTN_P488_16.lab.BTN_P488_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1230,site.08.subj.BTN_P495_17.lab.BTN_P495_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1231,site.08.subj.BTN_P418_17.lab.BTN_P418_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1232,site.08.subj.05TB33016.lab.1924.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1233,site.08.subj.02TB0720.lab.19838.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1234,site.08.subj.02TB0720.lab.18744.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1235,site.08.subj.DTU-107.lab.2384.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1236,site.08.subj.02TB2862.lab.26730.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1237,site.08.subj.05TB11038.lab.24559.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1238,site.08.subj.05TB11038.lab.24561.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1239,site.08.subj.05TB42014.lab.1793.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1240,site.08.subj.BTN_P427_16.lab.BTN_P427_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1241,site.08.subj.02TB2595.lab.25913.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.12
1242,site.08.subj.05TB22061.lab.24978.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1243,site.08.subj.02TB2586.lab.27067.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1244,site.08.subj.05TB32016.lab.1841.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1245,site.08.subj.05TB32016.lab.1868.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1246,site.08.subj.BTN_P229_16.lab.BTN_P229_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1247,site.08.subj.DTU-111.lab.2370.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1248,site.08.subj.02TB2582.lab.26062.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1249,site.08.subj.02TB1435.lab.20230.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1250,site.08.subj.BTN_P537_17.lab.BTN_P537_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,<=0.008
1251,site.08.subj.28TB-D13-006.lab.2792.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1252,site.08.subj.02TB2444.lab.25803.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1253,site.08.subj.BTN_P463_16.lab.BTN_P463_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1254,site.08.subj.05TB12063.lab.27934.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1255,site.08.subj.02TB2415.lab.26100.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1256,site.08.subj.BTN_P387_17.lab.BTN_P387_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1257,site.08.subj.BTN_P420_18.lab.BTN_P420_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1258,site.08.subj.02TB2584.lab.26068.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1259,site.08.subj.02TB2731.lab.26725.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1260,site.08.subj.23TB03-302.lab.2073.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1261,site.08.subj.05TB42009.lab.1788.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1262,site.08.subj.24TB00-031.lab.2291.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
1263,site.08.subj.24TB00-031.lab.2266.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1264,site.08.subj.24TB00-031.lab.2290.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1265,site.08.subj.05TB32035.lab.1932.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1266,site.08.subj.02TB1909.lab.23837.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1267,site.08.subj.BTN_EP107_18.lab.BTN_EP107_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1268,site.08.subj.05TB43012.lab.1863.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1269,site.08.subj.DTU-085.lab.2223.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1270,site.08.subj.02TB0742.lab.21853.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1271,site.08.subj.02TB0742.lab.18743.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1272,site.08.subj.02TB0742.lab.23567.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1273,site.08.subj.BTN_EP126_18.lab.BTN_EP126_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1274,site.08.subj.05TB11055.lab.25198.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1275,site.08.subj.05TB11055.lab.25200.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1276,site.08.subj.BTN_P218_16.lab.BTN_P218_16.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1277,site.08.subj.05TB11054.lab.25199.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1278,site.08.subj.05TB11010.lab.22316.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1279,site.08.subj.02TB1295.lab.19778.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1280,site.08.subj.BTN_P25_18.lab.BTN_P25_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1281,site.08.subj.02TB2514.lab.26113.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1282,site.08.subj.BTN_P216_18.lab.BTN_P216_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1283,site.08.subj.BTN_P544_17.lab.BTN_P544_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.015
1284,site.08.subj.05TB21081.lab.26376.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1285,site.08.subj.DTU-048.lab.2143.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.06
1286,site.08.subj.02TB2569.lab.25902.iso.1,BDQ,CRyPTIC,UKMYC5,S,0.03
1287,site.08.subj.02TB1263.lab.18745.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1288,site.08.subj.02TB1263.lab.19531.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1289,site.08.subj.02TB0956.lab.20256.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1290,site.08.subj.BTN_P179_17.lab.BTN_P179_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.03
1291,site.08.subj.05TB32050.lab.2032.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1292,site.08.subj.BTN_P308_17.lab.BTN_P308_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1293,site.08.subj.02TB2327.lab.25810.iso.1,BDQ,CRyPTIC,UKMYC5,S,<=0.015
1294,site.08.subj.BTN_P1_17.lab.BTN_P1_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1295,site.08.subj.BTN_P492_18.lab.BTN_P492_18.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
1296,site.08.subj.02TB1609.lab.21092.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
1297,site.08.subj.02TB1609.lab.21261.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
1298,site.08.subj.BTN_P355_17.lab.BTN_P355_17.iso.1,BDQ,CRyPTIC2,UKMYC6,S,0.06
